priority_code,priority_name,table_name,table_comment,field_order,field_name,field_comment,data_type,length,scale,nullable,default_value,dict_code,primary_key,foreign_key,foreign_key_ref,unique_key_part,remark
P0,核心运行层,pro_production_line_master,产线主数据表,12,update_time,更新时间,datetime,,,Y,,,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_production_line_master,产线主数据表,13,del_flag,逻辑删除标识,char,1,,N,'0',sys_del_flag,N,N,,,0存在 2删除
P0,核心运行层,pro_production_line_master,产线主数据表,14,remark,备注,varchar,500,,Y,,,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_work_center_master,工作中心主数据表,1,work_center_id,工作中心ID,bigint,20,,N,,,Y,N,,N,主键，建议使用雪花ID或数据库统一ID生成策略。
P0,核心运行层,pro_work_center_master,工作中心主数据表,2,plant_id,工厂ID,bigint,20,,N,,,N,Y,pro_plant_master.plant_id,Y,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_work_center_master,工作中心主数据表,3,workshop_id,车间ID,bigint,20,,N,,,N,Y,pro_workshop_master.workshop_id,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_work_center_master,工作中心主数据表,4,line_id,产线ID,bigint,20,,N,,,N,Y,pro_production_line_master.line_id,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_work_center_master,工作中心主数据表,5,work_center_code,工作中心编码,varchar,64,,N,,,N,N,,Y,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_work_center_master,工作中心主数据表,6,work_center_name,工作中心名称,varchar,128,,N,,,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_work_center_master,工作中心主数据表,7,work_center_type,工作中心类型,varchar,32,,Y,,type_dict,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_work_center_master,工作中心主数据表,8,capacity_unit,产能单位,varchar,64,,Y,,,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_work_center_master,工作中心主数据表,9,status,状态,varchar,20,,N,0,status_dict,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_work_center_master,工作中心主数据表,10,create_by,创建人,varchar,64,,N,,,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_work_center_master,工作中心主数据表,11,create_time,创建时间,datetime,,,N,,,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_work_center_master,工作中心主数据表,12,update_by,更新人,varchar,64,,Y,,,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_work_center_master,工作中心主数据表,13,update_time,更新时间,datetime,,,Y,,,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_work_center_master,工作中心主数据表,14,del_flag,逻辑删除标识,char,1,,N,'0',sys_del_flag,N,N,,,0存在 2删除
P0,核心运行层,pro_work_center_master,工作中心主数据表,15,remark,备注,varchar,500,,Y,,,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_material_master,物料主数据表,1,material_id,物料ID,bigint,20,,N,,,Y,N,,N,主键，建议使用雪花ID或数据库统一ID生成策略。
P0,核心运行层,pro_material_master,物料主数据表,2,material_code,物料编码,varchar,64,,N,,,N,N,,Y,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_material_master,物料主数据表,3,material_name,物料名称,varchar,128,,N,,,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_material_master,物料主数据表,4,material_type,物料类型,varchar,32,,Y,,mes_material_type,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_material_master,物料主数据表,5,spec_model,规格型号,varchar,64,,Y,,,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_material_master,物料主数据表,6,base_uom,基本单位,varchar,20,,Y,,mes_uom,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_material_master,物料主数据表,7,batch_managed_flag,是否批次管理,char,1,,N,N,sys_yes_no,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_material_master,物料主数据表,8,serial_managed_flag,是否序列号管理,char,1,,N,N,sys_yes_no,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_material_master,物料主数据表,9,status,状态,varchar,20,,N,0,status_dict,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_material_master,物料主数据表,10,create_by,创建人,varchar,64,,N,,,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_material_master,物料主数据表,11,create_time,创建时间,datetime,,,N,,,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_material_master,物料主数据表,12,update_by,更新人,varchar,64,,Y,,,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_material_master,物料主数据表,13,update_time,更新时间,datetime,,,Y,,,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_material_master,物料主数据表,14,del_flag,逻辑删除标识,char,1,,N,'0',sys_del_flag,N,N,,,0存在 2删除
P0,核心运行层,pro_material_master,物料主数据表,15,remark,备注,varchar,500,,Y,,,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_bom_header,BOM头表,1,bom_id,BOM ID,bigint,20,,N,,,Y,N,,N,主键，建议使用雪花ID或数据库统一ID生成策略。
P0,核心运行层,pro_bom_header,BOM头表,2,plant_id,工厂ID,bigint,20,,N,,,N,Y,pro_plant_master.plant_id,Y,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_bom_header,BOM头表,3,material_id,物料ID,bigint,20,,N,,,N,Y,pro_material_master.material_id,Y,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_bom_header,BOM头表,4,bom_code,BOM编码,varchar,64,,N,,,N,N,,Y,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_bom_header,BOM头表,5,bom_version,BOM版本,varchar,32,,N,,,N,N,,Y,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_bom_header,BOM头表,6,bom_usage,BOM用途,varchar,64,,Y,,mes_bom_usage,N,N,,Y,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_bom_header,BOM头表,7,effective_from,生效开始时间,datetime,,,Y,,,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_bom_header,BOM头表,8,effective_to,生效结束时间,datetime,,,Y,,,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_bom_header,BOM头表,9,bom_status,BOM状态,varchar,20,,N,0,status_dict,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_bom_header,BOM头表,10,base_qty,基准数量,decimal,18,6,N,0,,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_bom_header,BOM头表,11,base_uom,基本单位,varchar,20,,Y,,mes_uom,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_bom_header,BOM头表,12,create_by,创建人,varchar,64,,N,,,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_bom_header,BOM头表,13,create_time,创建时间,datetime,,,N,,,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_bom_header,BOM头表,14,update_by,更新人,varchar,64,,Y,,,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_bom_header,BOM头表,15,update_time,更新时间,datetime,,,Y,,,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_bom_header,BOM头表,16,del_flag,逻辑删除标识,char,1,,N,'0',sys_del_flag,N,N,,,0存在 2删除
P0,核心运行层,pro_bom_header,BOM头表,17,remark,备注,varchar,500,,Y,,,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_bom_item,BOM明细表,1,bom_item_id,BOM明细ID,bigint,20,,N,,,Y,N,,N,主键，建议使用雪花ID或数据库统一ID生成策略。
P0,核心运行层,pro_bom_item,BOM明细表,2,bom_id,BOM ID,bigint,20,,N,,,N,Y,pro_bom_header.bom_id,Y,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_bom_item,BOM明细表,3,item_no,项目号,varchar,64,,N,,,N,N,,Y,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_bom_item,BOM明细表,4,component_material_id,组件物料ID,bigint,20,,N,,,N,Y,pro_material_master.material_id,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_bom_item,BOM明细表,5,component_qty,组件数量,decimal,18,6,N,0,,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_bom_item,BOM明细表,6,component_uom,组件单位,varchar,20,,Y,,mes_uom,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_bom_item,BOM明细表,7,scrap_rate,损耗率,decimal,18,6,Y,,,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_bom_item,BOM明细表,8,item_type,项目类型,varchar,32,,Y,,type_dict,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_bom_item,BOM明细表,9,effective_from,生效开始时间,datetime,,,Y,,,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_bom_item,BOM明细表,10,effective_to,生效结束时间,datetime,,,Y,,,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_bom_item,BOM明细表,11,item_status,项目状态,varchar,20,,N,0,status_dict,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_bom_item,BOM明细表,12,create_by,创建人,varchar,64,,N,,,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_bom_item,BOM明细表,13,create_time,创建时间,datetime,,,N,,,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_bom_item,BOM明细表,14,update_by,更新人,varchar,64,,Y,,,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_bom_item,BOM明细表,15,update_time,更新时间,datetime,,,Y,,,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_bom_item,BOM明细表,16,del_flag,逻辑删除标识,char,1,,N,'0',sys_del_flag,N,N,,,0存在 2删除
P0,核心运行层,pro_bom_item,BOM明细表,17,remark,备注,varchar,500,,Y,,,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_bom_item_operation_map,BOM行项目工序映射表,1,bom_item_op_map_id,BOM工序映射ID,bigint,20,,N,,,Y,N,,N,主键，建议使用雪花ID或数据库统一ID生成策略。
P0,核心运行层,pro_bom_item_operation_map,BOM行项目工序映射表,2,bom_item_id,BOM明细ID,bigint,20,,N,,,N,Y,pro_bom_item.bom_item_id,Y,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_bom_item_operation_map,BOM行项目工序映射表,3,operation_id,工序ID,bigint,20,,N,,,N,Y,pro_routing_operation.operation_id,Y,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_bom_item_operation_map,BOM行项目工序映射表,4,issue_method,发料方式,varchar,64,,Y,,,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_bom_item_operation_map,BOM行项目工序映射表,5,issue_qty,发料数量,decimal,18,6,N,0,,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_bom_item_operation_map,BOM行项目工序映射表,6,issue_uom,发料单位,varchar,20,,Y,,mes_uom,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_bom_item_operation_map,BOM行项目工序映射表,7,backflush_flag,是否倒冲,char,1,,N,N,sys_yes_no,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_bom_item_operation_map,BOM行项目工序映射表,8,mandatory_flag,是否必需,char,1,,N,N,sys_yes_no,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_bom_item_operation_map,BOM行项目工序映射表,9,status,状态,varchar,20,,N,0,status_dict,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_bom_item_operation_map,BOM行项目工序映射表,10,create_by,创建人,varchar,64,,N,,,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_bom_item_operation_map,BOM行项目工序映射表,11,create_time,创建时间,datetime,,,N,,,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_bom_item_operation_map,BOM行项目工序映射表,12,update_by,更新人,varchar,64,,Y,,,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_bom_item_operation_map,BOM行项目工序映射表,13,update_time,更新时间,datetime,,,Y,,,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_bom_item_operation_map,BOM行项目工序映射表,14,del_flag,逻辑删除标识,char,1,,N,'0',sys_del_flag,N,N,,,0存在 2删除
P0,核心运行层,pro_bom_item_operation_map,BOM行项目工序映射表,15,remark,备注,varchar,500,,Y,,,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_routing_header,工艺路线头表,1,routing_id,工艺路线ID,bigint,20,,N,,,Y,N,,N,主键，建议使用雪花ID或数据库统一ID生成策略。
P0,核心运行层,pro_routing_header,工艺路线头表,2,plant_id,工厂ID,bigint,20,,N,,,N,Y,pro_plant_master.plant_id,Y,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_routing_header,工艺路线头表,3,material_id,物料ID,bigint,20,,N,,,N,Y,pro_material_master.material_id,Y,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_routing_header,工艺路线头表,4,routing_code,工艺路线编码,varchar,64,,N,,,N,N,,Y,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_routing_header,工艺路线头表,5,routing_version,工艺路线版本,varchar,32,,N,,,N,N,,Y,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_routing_header,工艺路线头表,6,routing_type,工艺路线类型,varchar,32,,Y,,type_dict,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_routing_header,工艺路线头表,7,effective_from,生效开始时间,datetime,,,Y,,,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_routing_header,工艺路线头表,8,effective_to,生效结束时间,datetime,,,Y,,,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_routing_header,工艺路线头表,9,routing_status,工艺路线状态,varchar,20,,N,0,status_dict,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_routing_header,工艺路线头表,10,create_by,创建人,varchar,64,,N,,,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_routing_header,工艺路线头表,11,create_time,创建时间,datetime,,,N,,,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_routing_header,工艺路线头表,12,update_by,更新人,varchar,64,,Y,,,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_routing_header,工艺路线头表,13,update_time,更新时间,datetime,,,Y,,,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_routing_header,工艺路线头表,14,del_flag,逻辑删除标识,char,1,,N,'0',sys_del_flag,N,N,,,0存在 2删除
P0,核心运行层,pro_routing_header,工艺路线头表,15,remark,备注,varchar,500,,Y,,,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_routing_operation,工艺工序表,1,operation_id,工序ID,bigint,20,,N,,,Y,N,,N,主键，建议使用雪花ID或数据库统一ID生成策略。
P0,核心运行层,pro_routing_operation,工艺工序表,2,routing_id,工艺路线ID,bigint,20,,N,,,N,Y,pro_routing_header.routing_id,Y,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_routing_operation,工艺工序表,3,operation_no,工序号,varchar,64,,N,,,N,N,,Y,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_routing_operation,工艺工序表,4,operation_code,工序编码,varchar,64,,N,,,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_routing_operation,工艺工序表,5,operation_name,工序名称,varchar,128,,N,,,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_routing_operation,工艺工序表,6,work_center_id,工作中心ID,bigint,20,,N,,,N,Y,pro_work_center_master.work_center_id,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_routing_operation,工艺工序表,7,standard_time,标准工时,decimal,18,2,Y,0,,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_routing_operation,工艺工序表,8,time_uom,时间单位,varchar,20,,Y,,mes_uom,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_routing_operation,工艺工序表,9,operation_type,工序类型,varchar,32,,Y,,type_dict,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_routing_operation,工艺工序表,10,operation_status,工序状态,varchar,20,,N,0,status_dict,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_routing_operation,工艺工序表,11,create_by,创建人,varchar,64,,N,,,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_routing_operation,工艺工序表,12,create_time,创建时间,datetime,,,N,,,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_routing_operation,工艺工序表,13,update_by,更新人,varchar,64,,Y,,,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_routing_operation,工艺工序表,14,update_time,更新时间,datetime,,,Y,,,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_routing_operation,工艺工序表,15,del_flag,逻辑删除标识,char,1,,N,'0',sys_del_flag,N,N,,,0存在 2删除
P0,核心运行层,pro_routing_operation,工艺工序表,16,remark,备注,varchar,500,,Y,,,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_production_order,生产工单头表,1,prod_order_id,生产工单ID,bigint,20,,N,,,Y,N,,N,主键，建议使用雪花ID或数据库统一ID生成策略。
P0,核心运行层,pro_production_order,生产工单头表,2,plant_id,工厂ID,bigint,20,,N,,,N,Y,pro_plant_master.plant_id,Y,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_production_order,生产工单头表,3,material_id,物料ID,bigint,20,,N,,,N,Y,pro_material_master.material_id,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_production_order,生产工单头表,4,bom_id,BOM ID,bigint,20,,N,,,N,Y,pro_bom_header.bom_id,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_production_order,生产工单头表,5,routing_id,工艺路线ID,bigint,20,,N,,,N,Y,pro_routing_header.routing_id,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_production_order,生产工单头表,6,order_no,生产工单号,varchar,64,,N,,,N,N,,Y,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_production_order,生产工单头表,7,order_type,工单类型,varchar,32,,Y,,type_dict,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_production_order,生产工单头表,8,order_qty,工单数量,decimal,18,6,N,0,,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_production_order,生产工单头表,9,order_uom,工单单位,varchar,20,,Y,,mes_uom,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_production_order,生产工单头表,10,planned_start_time,计划开始时间,datetime,,,Y,,,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_production_order,生产工单头表,11,planned_end_time,计划结束时间,datetime,,,Y,,,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_production_order,生产工单头表,12,order_status,工单状态,varchar,20,,N,0,mes_order_status,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_production_order,生产工单头表,13,source_system,来源系统,varchar,64,,Y,,,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_production_order,生产工单头表,14,create_by,创建人,varchar,64,,N,,,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_production_order,生产工单头表,15,create_time,创建时间,datetime,,,N,,,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_production_order,生产工单头表,16,update_by,更新人,varchar,64,,Y,,,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_production_order,生产工单头表,17,update_time,更新时间,datetime,,,Y,,,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_production_order,生产工单头表,18,priority_level,紧急程度,varchar,2,,N,'',mes_priority_level,N,N,,N,紧急程度字典。
P0,核心运行层,pro_production_order,生产工单头表,19,batch_no,生产批号,varchar,64,,Y,,,N,N,,N,批次号
P0,核心运行层,pro_production_order,生产工单头表,20,schedule_status,排产状态,varchar,20,,Y,,mes_schedule_status,N,N,,N,排产状态字典。
P0,核心运行层,pro_production_order,生产工单头表,21,del_flag,逻辑删除标识,char,1,,N,'0',sys_del_flag,N,N,,,0存在 2删除
P0,核心运行层,pro_production_order,生产工单头表,22,remark,备注,varchar,500,,Y,,,N,N,,N,基础版字段定义，后续可按数据库规范细化。
P0,核心运行层,pro_order_component,工单组件表,1,order_component_id,工单组件ID,bigint,20,,N,,,Y,N,,N,主键，建议使用雪花ID或数据库统一ID生成策略。
P0,核心运行层,pro_order_component,工单组件表,2,prod_order_id,生产工单ID,bigint,20,,N,,,N,Y,pro_production_order.prod_order_id,Y,基础版字段定义，后续可按数据库规范细化。
